"","CVE_INEGI","state_code","mun_code","year","CORR_COUNT","INFRA_COUNT","state","sujeto","internal_audit","state_gov_audit","otro_state","ASE","ASF","SFP","otro_fed","otro","state_abbrv","reform_ley_anticorr","man_1.1","man_1.2","man_1.3","man_1.4","pol_2.1","pol_2.10","pol_2.2","pol_2.3","pol_2.4","pol_2.5","pol_2.6","pol_2.7","pol_2.8","pol_2.9","str_3.1","str_3.2","str_3.3","fin_4.1","leg_5.1","leg_5.2","int_6.1","int_6.2","int_6.3","int_6.4","int_6.5","int_6.6","int_6.7","reform_year_imco","ASE_binary","internal_audit_binary","ASF_binary","CORR_binary","INFRA_binary","total_muns","total_muns_subj","ID_ENTIDAD","pob_mun","idh","pea","indice_marginacion","impuestos_muni","egresos_muni","lag_impuestos_muni","lag_egresos_muni"
"19","20524",20,524,2010,0,0,"Oaxaca","subject",1,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,570,89,20,369,0.7578,189,0.269,960,1635346,1000,1651881
"20","20503",20,503,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,374,0.7645,104,0.2888,10237,2465786,10175,2482202
"21","20147",20,147,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,378,0.7539,128,0.0117,1554,3094337,3060,2870914
"22","20151",20,151,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,394,0.7406,169,0.8472,1824,1086749,1824,1972177
"23","26053",26,53,2010,0,0,"Sonora","subject",0,0,0,2,0,0,0,0,"SON",2017,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,72,70,26,396,0.8588,129,-1.1258,91519,7225341,48246,5596423
"24","20119",20,119,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,399,0.6819,121,0.7259,27625,2373568,24703,2676472
"25","26044",26,44,2010,0,0,"Sonora","subject",2,0,0,0,0,0,0,0,"SON",2017,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,72,70,26,399,0.7921,180,-0.3934,9706,6189804,4254,5717202
"26","20196",20,196,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,404,0.7742,106,-0.3893,7895,1890525,6735,1997663
"27","20332",20,332,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,406,0.7671,117,0.0582,5910,2759504,8587,2210472
"28","20054",20,54,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,409,0.7883,83,-0.0652,13572,2245578,16473,2433339
"29","20476",20,476,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,409,0.7442,170,0.0945,17815.5,1897717.5,16064,1877701
"30","20181",20,181,2010,0,1,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,570,89,20,417,0.7652,149,0.3333,2377,2085482,20178,2042178
