"","ID_ENTIDAD","year","m_total_egresos","m_poblacion","m_legislativo","m_pres_poder_leg","m_ase_budget","m_por_efs","ase_budget_perc","ase_growth"
"45",5,2009,24.2410394369909,14.8079296881274,186079644.000006,180105906.217117,53608702.9330324,0.333466961463523,0.288095472350703,NA
"46",5,2010,24.6400445292482,14.8265262075012,200826207.000004,203971184.132035,82436725.5901689,0.339743529130481,0.410487888117946,0.537748930302384
"47",5,2011,24.9052852703833,14.841443115595,221141722.999998,204485942.951129,104004078.741011,0.404261184617843,0.470305093629988,0.261623117566109
"48",5,2012,24.277427395448,14.8561407760333,203304144.000003,158633931.142576,47138442.5324207,0.346442413506809,0.231861690593085,-0.546763520209586
"49",5,2013,24.3769013446379,14.8706255405442,225156571.000008,187743982.095884,63351673.2242211,0.356311114738223,0.28136719680377,0.343949223198226
"50",5,2014,24.4691186996087,14.8849034887731,266817901.000011,225173127.158856,83732841.4991792,0.382275987323734,0.313820179175969,0.321714758863951
"51",5,2015,24.5257316638997,14.8989804436032,277277372.000009,195875671.008253,71971488.8711111,0.324554539512163,0.259564956029332,-0.140462838923045
"52",5,2016,24.5626101421157,14.9125795690586,368515919.000016,332438000.000003,158408000.000005,0.476503889,0.429853886447706,1.20098267362076
"53",5,2017,24.6848434159277,14.9239873242953,364081702.000006,355074074.999987,162342199.999995,0.45720657,0.445894971123795,0.0248358668753456
"54",5,2018,24.7108918841245,14.9351216392832,373746968.000007,374606775.999987,174800499.999997,0.466623967,0.467697439621754,0.0767409829360599
"55",5,2019,24.7083946946129,14.9710206894896,371848109.017135,374606775.999987,174800499.999997,0.466623967,0.470085757493907,0
"56",6,2009,22.8282889736376,13.3598723698993,118595348.999996,108594960.109209,9494406.73043027,0.18707656455638,0.0800571591591725,NA
"57",6,2010,22.9010611099661,13.3855811237064,113754902.000002,106647778.285074,9821733.84602368,0.150523343556461,0.0863411921010978,0.0344757839944134
"58",6,2011,23.2040983219179,13.4040640971783,107804678.999998,99042236.7926704,14281293.412203,0.198339497814061,0.132473780773497,0.454050133723055
"59",6,2012,23.2227588649721,13.4222116407089,122651187.999998,111169916.063469,16841653.280798,0.222207837470183,0.137313413391465,0.179280671203577
"60",6,2013,23.2474102348387,13.4400357124033,126533794.999996,114614155.127449,20300432.5246168,0.234768262253193,0.160434866626876,0.205370529018214
"61",6,2014,23.3590703882239,13.4575476420885,126547654.999998,120979851.058337,22246004.2862518,0.263357762503858,0.175791517324063,0.0958389314747718
"62",6,2015,23.5365499981586,13.4747581745694,126863181.000006,126312765.983828,50843967.9866876,0.297046991919153,0.400777968721164,1.28553259868378
"63",6,2016,23.5049807308352,13.5086097086705,146271536.000002,149102228,41894220.9999983,0.280976492,0.286414036152582,-0.176023771178375
"64",6,2017,23.5283878164176,13.5248922390904,126812926.000005,125280000.000004,31999999.9999999,0.255427842,0.252340207022733,-0.236171499644276
"65",6,2018,23.6792134871516,13.5406611191314,133079989,130000000.000006,35000000.0000004,0.269230769,0.262999721167698,0.0937500000000144
"66",6,2019,23.6562448508943,13.5578299082297,141253556.28852,130000000.000006,35000000.0000004,0.269230769,0.247781372162486,0
"67",7,2009,24.7199530409565,15.36221222818,325475841.999988,310913401.204879,51843386.229598,0.287700900388336,0.159284897800802,NA
"68",7,2010,24.7736212463159,15.3834137219294,313059299.00001,308152290.788594,90536892.1940123,0.35114292777632,0.28920045653718,0.746353754614967
"69",7,2011,24.9653472954751,15.4008290415068,360966725.999991,319565310.270013,135948688.955411,0.353290481781793,0.376623880161781,0.50158333979573
"70",7,2012,24.9783575421007,15.417946251988,484790678.000022,357031385.001205,212636520.253105,0.487808541789311,0.438615117622157,0.564093937844787
"71",7,2013,25.0942456924618,15.4347753876958,374726991.999988,354768350.783726,165582329.440778,0.367457738091279,0.441874572624283,-0.221289319239788
