"","ID_ENTIDAD","year","m_total_egresos","m_poblacion","m_legislativo","m_pres_poder_leg","m_ase_budget","m_por_efs","ase_budget_leg_perc","ase_budget_sta_perc","ase_budget_pc","ase_growth","ase_pct_change","ase_growth_pc"
"47",5,2011,65497988578.0019,2789695.7999999,221141722.999998,204485942.951129,104004078.741011,0.404261184617843,0.470305093629988,0.00158789729271078,37.2815124649126,0.261623117566109,26.1623117566109,0.24294327062858
"48",5,2012,34958497021.9988,2831000.60000012,203304144.000003,158633931.142576,47138442.5324207,0.346442413506809,0.231861690593085,0.00134841158939863,16.6508062670205,-0.546763520209586,-54.6763520209586,-0.553376320698058
"49",5,2013,38614795559.9984,2872305.39999994,225156571.000008,187743982.095884,63351673.2242211,0.356311114738223,0.28136719680377,0.00164060620561327,22.0560366680446,0.343949223198226,34.3949223198226,0.324622742847594
"50",5,2014,42345106382.9997,2913610.20000007,266817901.000011,225173127.158856,83732841.4991792,0.382275987323734,0.313820179175969,0.00197739121828716,28.7385187967756,0.321714758863951,32.1714758863951,0.302977467316818
"51",5,2015,44811545889.0011,2954914.99999998,277277372.000009,195875671.008253,71971488.8711111,0.324554539512163,0.259564956029332,0.00160609252466732,24.3565344083033,-0.140462838923045,-14.0462838923045,-0.152477739700488
"52",5,2016,46494977925.9986,2995373.73800005,368515919.000016,332438000.000003,158408000.000005,0.476503889,0.429853886447706,0.00340699161643064,52.8842187505359,1.20098267362076,120.098267362076,1.17125383537764
"53",5,2017,52540146834.9985,3029739.87599993,364081702.000006,355074074.999987,162342199.999995,0.45720657,0.445894971123795,0.00308986955270277,53.5828838924382,0.0248358668753456,2.48358668753457,0.0132112217672735
"54",5,2018,53926717802.9973,3063662.45599999,373746968.000007,374606775.999987,174800499.999997,0.466623967,0.467697439621754,0.00324144518935067,57.0560570919493,0.0767409829360599,7.67409829360599,0.0648187060346188
"55",5,2019,53792220571.3382,3175642.99999992,371848109.017135,374606775.999987,174800499.999997,0.466623967,0.470085757493907,0.0032495498074518,55.0441280710713,0,0,-0.03526232136293
"56",6,2009,8207292897.00038,634043.200000011,118595348.999996,108594960.109209,9494406.73043027,0.18707656455638,0.0800571591591725,0.00115682562442731,14.9743846009706,NA,NA,NA
"57",6,2010,8826824053.00011,650554.999999996,113754902.000002,106647778.285074,9821733.84602368,0.150523343556461,0.0863411921010978,0.00111271435649444,15.0974688474053,0.0344757839944134,3.44757839944134,0.00821965307520811
"58",6,2011,11951209480.0006,662690.999999997,107804678.999998,99042236.7926704,14281293.412203,0.198339497814061,0.132473780773497,0.00119496637023237,21.5504562642364,0.454050133723055,45.4050133723055,0.42742180706272
"59",6,2012,12176319342.9995,674827.000000026,122651187.999998,111169916.063469,16841653.280798,0.222207837470183,0.137313413391465,0.00138314812599595,24.9569938381205,0.179280671203577,17.9280671203577,0.158072642737378
"60",6,2013,12480212597.9994,686962.999999982,126533794.999996,114614155.127449,20300432.5246168,0.234768262253193,0.160434866626876,0.00162660951207442,29.5509838588356,0.205370529018214,20.5370529018214,0.184076257361497
"61",6,2014,13954535087.0003,699098.999999982,126547654.999998,120979851.058337,22246004.2862518,0.263357762503858,0.175791517324063,0.00159417738731945,31.8209642500595,0.0958389314747718,9.58389314747718,0.0768157297932105
"62",6,2015,16664557540.9994,711235.000000031,126863181.000006,126312765.983828,50843967.9866876,0.297046991919153,0.400777968721164,0.00305102417880567,71.4868756271632,1.28553259868378,128.553259868378,1.246533922272
"63",6,2016,16146687073.9996,735723.544800028,146271536.000002,149102228,41894220.9999983,0.280976492,0.286414036152582,0.00259460165469231,56.9428847236162,-0.176023771178375,-17.6023771178375,-0.203449804960012
"64",6,2017,16529091993.0001,747801.045100024,126812926.000005,125280000.000004,31999999.9999999,0.255427842,0.252340207022733,0.00193598051324003,42.7921306204108,-0.236171499644276,-23.6171499644276,-0.248507854350705
"65",6,2018,19219927860.9991,759686.493900033,133079989,130000000.000006,35000000.0000004,0.269230769,0.262999721167698,0.00182102660598546,46.0716364987872,0.0937500000000144,9.37500000000144,0.0766380601019227
"66",6,2019,18783503551.1175,772841.999999967,141253556.28852,130000000.000006,35000000.0000004,0.269230769,0.247781372162486,0.00186333715138665,45.287393801064,0,0,-0.0170222452971429
"67",7,2009,54417576766.9974,4695955.79999993,325475841.999988,310913401.204879,51843386.229598,0.287700900388336,0.159284897800802,0.000952695605164091,11.0400072823511,NA,NA,NA
"68",7,2010,57417860264.998,4796580.00000019,313059299.00001,308152290.788594,90536892.1940123,0.35114292777632,0.28920045653718,0.00157680714286742,18.8753011925182,0.746353754614967,74.6353754614967,0.709718183129539
"69",7,2011,69552471862,4880845.59999982,360966725.999991,319565310.270013,135948688.955411,0.353290481781793,0.376623880161781,0.00195462052341071,27.8535114807598,0.50158333979573,50.158333979573,0.475659180040023
"70",7,2012,70463278737.9976,4965111.19999977,484790678.000022,357031385.001205,212636520.253105,0.487808541789311,0.438615117622157,0.0030176926771141,42.826134539165,0.564093937844787,56.4093937844787,0.537548849765234
"71",7,2013,79121120995.999,5049376.79999995,374726991.999988,354768350.783726,165582329.440778,0.367457738091279,0.441874572624283,0.00209277026609811,32.7926268922493,-0.221289319239788,-22.1289319239788,-0.234284689825087
"72",7,2014,97113434642.996,5133642.39999979,483391037.000006,393194035.429309,176412857.4621,0.403020209147842,0.364948548812455,0.00181656490794112,34.3640720791357,0.0654087187799577,6.54087187799577,0.0479206863192118
"73",7,2015,87811079908.9996,5217907.99999986,481637461.999991,409713258.878055,95822096.153861,0.315916082253663,0.198950670813606,0.00109123013010617,18.3640831064602,-0.456830428731947,-45.6830428731947,-0.465602241079862
"74",7,2016,90094401243.9997,5317959.77500008,450225209.999985,439003782.799994,148015931.399997,0.337163226,0.328759758699434,0.00164289821960335,27.8332175613335,0.544695193917786,54.4695193917786,0.515633391549081
"75",7,2017,99298839089.9959,5382082.61899985,505530366.999983,427461060.100003,136473208.799994,0.319264657,0.269960456796849,0.00137436862354762,25.3569516599793,-0.0779829744732683,-7.79829744732683,-0.0889680072344297
"76",7,2018,101568505183.998,5445232.73000005,525227364.999974,456372244.699989,172492474.899995,0.377964429,0.328414866388394,0.00169828702891229,31.6777047837942,0.263929209379024,26.3929209379024,0.249271016823007
"77",7,2019,96687349784,5647531.9999998,507696566.999991,501423126.899983,215068993.400005,0.42891718,0.423617190620098,0.00222437572113074,38.08194329842,0.246831164807012,24.6831164807012,0.202168640636559
"78",8,2009,39692352854.0014,3373460.80000015,320976855.999997,287288294.248846,50813868.8070267,0.266099467428076,0.1583100708265,0.00128019291257268,15.0628306714056,NA,NA,NA
"79",8,2010,40480059519.0013,3406464.99999997,330368254.00001,292325459.452599,47005678.8232711,0.218920085581939,0.142282674724762,0.00116120577345512,13.7989613347771,-0.074943909471208,-7.4943909471208,-0.0839064956779818
"80",8,2011,44898928833.0006,3436486.79999999,326496244.999991,320129445.837516,69455713.0427057,0.247069264023714,0.212730511013098,0.00154693474539321,20.2112555889072,0.477602595717017,47.7602595717016,0.464693979391726
